"75-3000
TOTAL",Location,"Coordinates (Latitude,Longtitude)"
0.235,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
7.012,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
0.461,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
1.129,A03.18.05.2015 - COSMOTE KIFISIA,"38.074185565464425, 23.814334330200708"
0.545,A03.18.05.2015 - COSMOTE KIFISIA,"38.074185565464425, 23.814334330200708"
0.617,A03.18.05.2015 - COSMOTE KIFISIA,"38.074185565464425, 23.814334330200708"
0.529,A03.18.05.2015 - COSMOTE KIFISIA,"38.074185565464425, 23.814334330200708"
0.353,A06.24.06.2015 - COSMOTE PAXOI,"39.197375131207885, 20.185988952999427"
0.408,A06.24.06.2015 - COSMOTE PAXOI,"39.197375131207885, 20.185988952999427"
0.348,A06.24.06.2015 - COSMOTE PAXOI,"39.197375131207885, 20.185988952999427"
0.342,A06.24.06.2015 - COSMOTE PAXOI,"39.197375131207885, 20.185988952999427"
0.341,A06.24.06.2015 - COSMOTE PAXOI,"39.197375131207885, 20.185988952999427"
0.421,A07.26.06.2015 - COSMOTE KERKYRA,"39.62129663207323, 19.92115635205514"
0.372,A07.26.06.2015 - COSMOTE KERKYRA,"39.62129663207323, 19.92115635205514"
0.369,A07.26.06.2015 - COSMOTE KERKYRA,"39.62129663207323, 19.92115635205514"
0.429,A07.26.06.2015 - COSMOTE KERKYRA,"39.62129663207323, 19.92115635205514"
4.542,A03.23.02.2016 COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
2.602,A03.23.02.2016 COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
0.505,A03.23.02.2016 COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
1.983,A03.23.02.2016 COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
0.667,A03.23.02.2016 COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
0.266,A03.23.02.2016 COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
0.205,A03.23.02.2016 COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
0.351,A03.23.02.2016 COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
1.953,A05.24.02.2016 COSMOTE SAMI,"38.244920083432525, 20.503448687284763"
2.181,A05.24.02.2016 COSMOTE SAMI,"38.244920083432525, 20.503448687284763"
1.113,A05.24.02.2016 COSMOTE SAMI,"38.244920083432525, 20.503448687284763"
1.232,A05.24.02.2016 COSMOTE SAMI,"38.244920083432525, 20.503448687284763"
0.493,A05.24.02.2016 COSMOTE SAMI,"38.244920083432525, 20.503448687284763"
0.871,A05.24.02.2016 COSMOTE SAMI,"38.244920083432525, 20.503448687284763"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
